KEGG pathway	Protein accession	KEGG KO No.	T2/S Ratio	Regulated Type
map00510 N-Glycan biosynthesis	Dpm1	K00721	1.7285858790208402	Up
map00510 N-Glycan biosynthesis	Stt3a	K07151	1.61906574065265	Up
map00510 N-Glycan biosynthesis	Mogs	K01228	1.79863218224727	Up
map04145 Phagosome	Itgb5	K06588	2.01457827143353	Up
map04145 Phagosome	Coro1a	K13882	2.07991126588319	Up
map04145 Phagosome	Itga5	K06484	1.7917452336056998	Up
map04145 Phagosome	Itgav	K06487	1.5299536798764801	Up
map04145 Phagosome	Tubb5	K07375	1.5426691208809098	Up
map04145 Phagosome	Mrc2	K06560	5.78632849770625	Up
map04145 Phagosome	Tubb6	K07375	2.07152209770946	Up
map04145 Phagosome	Thbs4	K04659	14.7793652498777	Up
map04510 Focal adhesion	Itga9	K06585	2.7221521854748194	Up
map04510 Focal adhesion	Itgb5	K06588	2.01457827143353	Up
map04510 Focal adhesion	Pdgfrb	K05089	1.92836164292003	Up
map04510 Focal adhesion	Fn1	K05717	1.76825258487501	Up
map04510 Focal adhesion	Itga5	K06484	1.7917452336056998	Up
map04510 Focal adhesion	Itgav	K06487	1.5299536798764801	Up
map04510 Focal adhesion	Vasp	K06274	1.52637193488363	Up
map04510 Focal adhesion	Zyx	K06273	1.74680770657597	Up
map04510 Focal adhesion	Actn1	K05699	1.73525592763538	Up
map04510 Focal adhesion	Flna	K04437	1.51913266936855	Up
map04510 Focal adhesion	Col6a6	K06238	0.407659275577479	Down
map04510 Focal adhesion	Vwf	K03900	2.28349168591542	Up
map04510 Focal adhesion	Flnc	K04437	1.6936376574772	Up
map04510 Focal adhesion	Thbs4	K04659	14.7793652498777	Up
map04512 ECM-receptor interaction	Itga9	K06585	2.7221521854748194	Up
map04512 ECM-receptor interaction	Itgb5	K06588	2.01457827143353	Up
map04512 ECM-receptor interaction	Fn1	K05717	1.76825258487501	Up
map04512 ECM-receptor interaction	Itga5	K06484	1.7917452336056998	Up
map04512 ECM-receptor interaction	Itgav	K06487	1.5299536798764801	Up
map04512 ECM-receptor interaction	Col6a6	K06238	0.407659275577479	Down
map04512 ECM-receptor interaction	Vwf	K03900	2.28349168591542	Up
map04512 ECM-receptor interaction	Thbs4	K04659	14.7793652498777	Up
map04540 Gap junction	Pdgfrb	K05089	1.92836164292003	Up
map04540 Gap junction	Prkg1	K07376	1.66358370702541	Up
map04540 Gap junction	Itpr1	K04958	2.2203120601600497	Up
map04540 Gap junction	Gja1	K07372	0.585346252407163	Down
map04540 Gap junction	Tubb5	K07375	1.5426691208809098	Up
map04540 Gap junction	Tubb6	K07375	2.07152209770946	Up
map04810 Regulation of actin cytoskeleton	Itga9	K06585	2.7221521854748194	Up
map04810 Regulation of actin cytoskeleton	Myh11	K10352	0.595560907652712	Down
map04810 Regulation of actin cytoskeleton	Itgb5	K06588	2.01457827143353	Up
map04810 Regulation of actin cytoskeleton	Pdgfrb	K05089	1.92836164292003	Up
map04810 Regulation of actin cytoskeleton	Fn1	K05717	1.76825258487501	Up
map04810 Regulation of actin cytoskeleton	Itga5	K06484	1.7917452336056998	Up
map04810 Regulation of actin cytoskeleton	Itgav	K06487	1.5299536798764801	Up
map04810 Regulation of actin cytoskeleton	Enah	K05746	3.0753336717327007	Up
map04810 Regulation of actin cytoskeleton	Myh14	K10352	0.660396544322816	Down
map04810 Regulation of actin cytoskeleton	Cyfip1	K05749	1.5573540889311799	Up
map04810 Regulation of actin cytoskeleton	Actn1	K05699	1.73525592763538	Up
map04810 Regulation of actin cytoskeleton	Arhgef12	K07532	2.47657515966066	Up
map04810 Regulation of actin cytoskeleton	Brk1	K05752	1.57869762318349	Up
map04810 Regulation of actin cytoskeleton	Iqgap1	K16848	1.86732850244652	Up
map04810 Regulation of actin cytoskeleton	Arpc1b	K05757	1.53457975791328	Up
map04974 Protein digestion and absorption	Slc3a2	K06519	1.63440304886736	Up
map04974 Protein digestion and absorption	Col18a1	K06823	1.9886049926578602	Up
map04974 Protein digestion and absorption	Col12a1	K08132	11.5021336589758	Up
map04974 Protein digestion and absorption	Col14a1	K08133	20.495662668778802	Up
map04974 Protein digestion and absorption	Col6a6	K06238	0.407659275577479	Down
map05100 Bacterial invasion of epithelial cells	Fn1	K05717	1.76825258487501	Up
map05100 Bacterial invasion of epithelial cells	Itga5	K06484	1.7917452336056998	Up
